afk_sweep -> /home/ben/PycharmProjects/resonance-lighting/ops/bench/data/ca/2026-06-10-afk-sweep-0031.jsonl
patterns=['RGB', 'W', 'RGBW'] gammas=[0, 1] levels=[0, 16, 32, 48, 64, 96, 128, 160, 192, 224, 255]
floor=2.9 V  max=120.0 min
start: battery_v=3.194 soc=33 supply_v=0.02

cyc g  pat  lvl  LED_mA battINA gauge_mA    bv soc mAh_ina  mAh_g
  5 0  RGB   64    63.1  -191.4 -218.125 3.106  25    59.9   66.1
  5 0  RGB   96    94.3  -227.2 -306.484 3.107  25    60.2   66.4
  5 0  RGB  128   125.0  -263.5 -338.516 3.107  25    60.4   66.8
  5 0  RGB  160   156.6  -299.7 -443.594 3.022  25    60.8   67.3
  5 0  RGB  192   188.0  -336.2 -368.203  3.04  25    61.2   67.7
  5 0  RGB  224   219.2  -373.0 -441.797 3.018  25    61.6   68.2
  5 0  RGB  255   252.2  -410.8 -445.703 3.011  24    62.0   68.7
  5 0    W    0     2.0  -120.8 -131.797 3.188  24    62.2   68.8
  5 0    W   16     1.6  -124.8 -136.797  3.18  24    62.3   69.0
  5 0    W   32     6.1  -129.7 -146.875 3.174  24    62.5   69.1
  5 0    W   48    10.4  -133.8 -125.938 3.188  24    62.6   69.3
  5 0    W   64    14.2  -138.6  -131.25 3.191  24    62.8   69.4
  5 0    W   96    23.4  -147.6 -176.797 3.168  24    62.9   69.6
  5 0    W  128    32.0  -156.7 -197.422 3.147  24    63.1   69.8
  5 0    W  160    40.2  -165.9 -184.219 3.163  24    63.3   70.0
  5 0    W  192    49.0  -174.8 -215.938 3.145  24    63.5   70.3
  5 0    W  224    57.6  -183.8 -215.703 3.145  24    63.7   70.5
  5 0    W  255    66.0  -193.1 -218.359 3.141  24    63.9   70.8
  5 0 RGBW    0    -4.6  -120.4 -130.234 3.191  24    64.0   70.9
  5 0 RGBW   16    18.2  -140.2 -225.781 3.183  24    64.2   71.2
  5 0 RGBW   32    35.5  -160.8 -206.406 3.196  24    64.4   71.4
  5 0 RGBW   48    53.5  -181.8 -209.375 3.165  24    64.6   71.6
  5 0 RGBW   64    70.8  -201.2 -123.047  3.19  24    64.8   71.8
  5 0 RGBW   96   106.2  -243.4 -129.688 3.187  24    65.1   71.9
  5 0 RGBW  128   141.5  -284.7 -496.328 2.996  24    65.4   72.5
  5 0 RGBW  160   177.4  -326.9 -188.203 3.189  24    65.7   72.7
  5 0 RGBW  192   213.1  -369.2 -280.312 3.083  24    66.2   73.0
  5 0 RGBW  224   249.0  -412.1 -492.578  2.99  24    66.6   73.5
  5 0 RGBW  255   286.5  -456.8 -496.797 2.984  24    67.1   74.1
  5 1  RGB    0    -4.6  -120.7 -128.906 3.188  24    67.3   74.2
  5 1  RGB   16     1.7  -120.5 -131.562 3.187  24    67.4   74.4
  5 1  RGB   32     3.0  -121.9 -128.906 3.191  24    67.5   74.5
  5 1  RGB   48     4.1  -124.0 -129.141 3.191  24    67.7   74.7
  5 1  RGB   64     8.0  -127.8 -123.359 3.171  24    67.8   74.8
  5 1  RGB   96    20.3  -142.2 -179.688 3.163  24    68.0   75.0
  5 1  RGB  128    42.0  -167.3 -128.906 3.189  23    68.2   75.1
  5 1  RGB  160    74.9  -204.9 -288.516 3.083  23    68.4   75.5
  5 1  RGB  192   120.0  -257.6 -453.672 3.057  23    68.7   76.0
  5 1  RGB  224   179.3  -326.2 -405.234 3.063  23    69.0   76.4
  5 1  RGB  255   251.8  -410.9 -447.578 3.014  23    69.5   76.9
  5 1    W    0    -2.3  -120.7 -129.688 3.189  23    69.6   77.1
  5 1    W   16    -2.4  -120.1 -129.141  3.19  23    69.8   77.2
  5 1    W   32     2.0  -120.9 -136.016 3.185  23    69.9   77.4
  5 1    W   48     2.6  -121.0 -130.469 3.193  23    70.0   77.5
  5 1    W   64     3.3  -122.2 -126.797 3.184  23    70.2   77.7
  5 1    W   96     2.8  -126.0 -130.234 3.193  23    70.3   77.8
  5 1    W  128     7.9  -132.2 -155.078 3.171  23    70.5   78.0
  5 1    W  160    17.9  -141.9  -153.75 3.171  23    70.6   78.2
  5 1    W  192    30.4  -154.8 -185.234 3.155  23    70.8   78.4
  5 1    W  224    46.6  -171.7 -186.094 3.168  23    71.0   78.6
  5 1    W  255    66.2  -193.3 -208.828  3.15  23    71.2   78.8
  5 1 RGBW    0    -4.4  -120.2 -126.484 3.194  23    71.4   79.0
  5 1 RGBW   16    -4.2  -119.9 -128.125 3.193  23    71.5   79.1
  5 1 RGBW   32     3.0  -121.7  -131.25 3.188  23    71.6   79.2
  5 1 RGBW   48     5.0  -123.8 -125.938 3.195  23    71.8   79.4
  5 1 RGBW   64     9.0  -128.8 -172.266 3.198  23    71.9   79.6
  5 1 RGBW   96    23.0  -145.2 -133.125 3.187  23    72.1   79.7
